fold,test_acc,f1_score
1,100.0,100.0
2,87.2727,87.8309
3,100.0,100.0
4,97.2727,97.3666
5,80.0,78.389
6,99.0909,99.0991
7,90.0,89.6114
8,95.4545,95.7041
9,87.2727,88.0556
10,98.1818,97.9658
